feature,importance_mean_auc_drop,importance_std
histology_pub,0.06314013429863796,0.0030028390413125647
age_broad,0.059069569697070556,0.00033997299188670256
liver_met_pub,0.028007883366716706,0.0016121723947329226
tumor_size_mm_pub,0.015658367446354998,0.0013583694859463755
sex_pub,0.011901396782387627,0.0006985661427094518
bone_met_pub,0.003995187870696896,0.0011102440418330772
primary_site_pub,0.002653418736305276,0.0012239156136545513
lung_met_pub,0.0018805132364313841,0.0004995599412818218
grade_harmonized,0.0,0.0
laterality_pub,-9.968645531499565e-05,4.936704175680661e-05
